V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,randomNum,SawSurvey,i01p1_1_TEXT,dt01p1_1_TEXT,Q92,i02p2_1_TEXT,dt02p1_1_TEXT,i03p3_1_TEXT,dt03p1_1_TEXT,i04p4_1_TEXT,dp01p1_1_TEXT,i05p5_1_TEXT,dp02p1_1_TEXT,i06p6_1_TEXT,dp03p1_1_TEXT,i07p7_1_TEXT,dp04p1_1_TEXT,i08p8_1_TEXT,dp05p1_1_TEXT,i09p9_1_TEXT,dp06p1_1_TEXT,i10p10_1_TEXT,dp07p1_1_TEXT,i11p11_1_TEXT,dp08p1_1_TEXT,i12p12_1_TEXT,dp09p1_1_TEXT,i13p13_1_TEXT,dt01p2_1_TEXT,Q93,i14p14_1_TEXT,dt02p2_1_TEXT,i15p15_1_TEXT,dt03p2_1_TEXT,i16p16_1_TEXT,dp01p2_1_TEXT,i17p17_1_TEXT,dp02p2_1_TEXT,i18p18_1_TEXT,dp03p2_1_TEXT,i19p19_1_TEXT,dp04p2_1_TEXT,i20p20_1_TEXT,dp05p2_1_TEXT,i21p21_1_TEXT,dp06p2_1_TEXT,i22p22_1_TEXT,dp07p2_1_TEXT,i23p23_1_TEXT,dp08p2_1_TEXT,i24p24_1_TEXT,dp09p2_1_TEXT,i25p25_1_TEXT,dt01p3_1_TEXT,Q94,i26p26_1_TEXT,dt02p3_1_TEXT,i27p27_1_TEXT,dt03p3_1_TEXT,i28p28_1_TEXT,dp01p3_1_TEXT,i29p29_1_TEXT,dp02p3_1_TEXT,i30p30_1_TEXT,dp03p3_1_TEXT,i31p31_1_TEXT,dp04p3_1_TEXT,i32p32_1_TEXT,dp05p3_1_TEXT,i33p33_1_TEXT,dp06p3_1_TEXT,i34p34_1_TEXT,dp07p3_1_TEXT,i35p35_1_TEXT,dp08p3_1_TEXT,i36p36_1_TEXT,dp09p3_1_TEXT,LocationLatitude,LocationLongitude,LocationAccuracy,
R_VR506LmOZ8WPU0p,Default Response Set,Anonymous,,,68.105.162.170,0,2014-11-04 21:31:26,2014-11-04 21:44:46,1,34474,1,,,,,,,,,,,,,,,,,,,,,,,,,,coughing and needs cough supressant.,his hat to the clown,1,probably going to get sun cancer because she is laying out and using tanning oil.,her teacher the letter K to hang above the board.,fixing the engine with a power drill,the two businessmen shots,sitting on a street coner asking for money.,patitent antibiotics for his illness,holding his saber prior to a fencing duel.,the dog a bone,fishing while she awaits her husbands return from war.,his glass of water across the table to his wife,coming into the world after hatching from its egg,the young student with a trophey for winning the spelling bee,hitch hiking on the side of the road,the customer a medium sized pizza,jumping up and down mimicing the frog in front of her.,hotdogs to the hungry customer,steering their toy sailboat for the side of the pond in Central Park.,her grandma a holiday card in the mail.,learning how to roller blade,an invitation to her future daugher-in-law asking her to join her for tea,kneeling on the ground in anguish over her poor course grade.,his loyal employee $5000 for his annual Holiday Bonus,,,,,,,,,,,,,,,,,,,,,,,,,,29.638107299805,-82.414100646973,-1,
R_ykabKjA40Fvh5st,Default Response Set,Anonymous,,,66.87.148.170,0,2014-10-29 12:23:20,2014-10-29 12:25:52,0,11088,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_3jVZo97FEO0EihH,Default Response Set,Anonymous,,,128.227.3.255,0,2014-11-05 11:55:46,2014-11-05 12:15:47,1,27899,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,falling back after stepping on a banana peel.,the man who was standing her front of her the dress she was holding up.,1,surfing on a wave. ,the man on the ladder a paint brush.,singing a song. ,the girl in a skirt a heart. ,hid in the curtains behind the chair. ,the girl a wrapped present. ,in the trash shaking his tail.,the banana at the monkey. ,washing his head in the shower.,"the hammer to the girl who was kneeling down next to the table, saw, and pile of wood.",smiling and waving his hand.,the student with an award. ,standing with her hands on her hips in front of a chair. ,a pencil to a woman with her hand behind her back.,sweating on his head under the sun. ,the person in a suit a t-shirt. ,whistling a song.,"the girl his is thinking about, an email. ",winking at someone or something.,a letter about a boy who sings. ,typing on a typewriter. ,the man in the taxi cab.,29.651596069336,-82.324798583984,-1,
R_1IrQBVH6KGh5gO5,Default Response Set,Anonymous,,,128.227.216.47,0,2014-11-05 16:10:39,2014-11-05 16:16:06,1,84298,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,slipping on a banana peel,her new dress to her boyfriend,1,surfing,a paintbrush to her father,singing,a valentine to the girl.,hiding under the curtains,a present to his daughter,wagging its tail.,a banana to the monkey.,showering.,a hammer to the carpenter.,waving enthusiastically.,the boy a certificate,standing up and stretching.,a pencil to his mother,sweating profusely,a shirt to the well-dressed man,whistling.,a love letter to his crush.,winking,a letter to her favorite singer,typing,his cab fare,29.651596069336,-82.324798583984,-1,
R_2UWOT25UwDAj0Ht,Default Response Set,Anonymous,,,128.227.49.46,0,2014-11-05 17:59:15,2014-11-05 18:09:09,1,79795,1,crawling toward the wall.,the judge the gun.,1,lighting a campfire outside his tent.,the guitar to the singer.,crying and wiping his tears.,her teacher some flowers.,falling down the ladder.,her teacher a bouquet of flowers.,sitting on a bench looking away.,the baseball to the girl.,putting her finger in her mouth.,the pitcher to the girl sitting across the table. ,skiing down a mountain.,the first place award to the competitor.,smiling.,the man a menu.,sneezing into a tissue.,the inexpensive car to the buyer.,barking in front of the fence.,her mom a postcard.,getting ready for a boxing match.,a text message to his mom.,clapping loudly.,the gas station attendant 5 dollars.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.651596069336,-82.324798583984,-1,
R_2UXkGFFkI0GWood,Default Response Set,Anonymous,,,70.191.204.135,0,2014-11-06 10:20:23,2014-11-06 10:35:02,1,20347,1,,,,,,,,,,,,,,,,,,,,,,,,,,sick. ,his hat to the clown.,1,tanning at the beach. ,"a ""k"" to the boy. ",drill gun. ,refreshments to the guests. ,asking for money by the street corner. ,gave the man medicine. ,fencing. ,a bone for the dog to fetch. ,fishing. ,a drink to his wife. ,hatching from it's egg. ,the girl with a trophy. ,is trying to hitch hike along the road. ,a pizza to the customer. ,hopping along with a frog.,hot dogs. ,enjoying the day sailing their boat. ,a letter to her grandmother. ,roller skating. ,invitations for her granddauthrers coronation. ,kneeling on the ground. ,her employee $5000. ,,,,,,,,,,,,,,,,,,,,,,,,,,30.42399597168,-87.223297119141,-1,
R_5bh8XbzM62r58GN,Default Response Set,Anonymous,,,143.88.0.222,0,2014-11-06 12:00:53,2014-11-06 12:13:11,1,49465,1,,,,,,,,,,,,,,,,,,,,,,,,,,very sick and coughing.,off his hat to the clown.,1,sunbathing on the beach.,the letter K to the boy on top of the ladder.,using a drill.,drinks to the two men,putting forth a bowl.,the patient some medicine.,fencing,a bone at the dog.,fishing,a drink to his wife.,hatching out of its egg.,a trophy to the student.,to hitchhike.,the lady her pizza.,jumping with the frog.,the girl a hot dog.,sailing,a letter to her mom.,rollerskating.,"to her daughter, the princess.",kneeling,5000 dollars to his employee.,,,,,,,,,,,,,,,,,,,,,,,,,,30.538192749023,-87.212303161621,-1,
R_3MfdMMcqilPUJPX,Default Response Set,Anonymous,,,108.59.17.4,0,2014-11-06 13:15:36,2014-11-06 13:55:05,1,33281,1,crawling to the wall.,the judge the gun as an evidence.,1,keeping himself warm with the fire.,the guitar to the singer.,crying.,the flowers to the older lady.,falling off the ladder. ,the flowers to the teacher as he is reaching to take it.,staring at something while sitting on the bench.,the ball to the girl.,giggling.,the pitcher to the girl as she is reaching over to get it.,skiing down the hills.,the player with a medals.,smiling.,menu over to the customer.,using a handkerchief to cover up her sneeze.,a car that is worth $2990 to another man.,barking in front of the fence.,a letter to someone through the post office box.,boxing.,a message to a girl. ,applauding. , five dollars in cash to the valet.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.480499267578,-87.199699401855,-1,
R_3CH0HThTaCFUoif,Default Response Set,Anonymous,,,98.180.48.250,0,2014-11-06 17:19:35,2014-11-06 17:27:57,1,28296,1,,,,,,,,,,,,,,,,,,,,,,,,,,sick,the clown how to steal a hat,1,dead,the boy a letter,violent,shots,begging on the corner,the sick patient some food in his room,confused,a bone,bad at fishing,out after his last beet,hatching from the egg,the little girl with a trophy,homeless,a giant cookie,a superhero,sexual favors,overboard,her mom a runaway note,from the 80's,a letter,weird,the cops,,,,,,,,,,,,,,,,,,,,,,,,,,29.638107299805,-82.414100646973,-1,
R_1OUnNhnuqGotJik,Default Response Set,Anonymous,,,128.227.1.89,0,2014-11-06 17:37:41,2014-11-06 17:43:25,1,99580,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,slipping on a banana peel.,a dress to the man.,1,standing up on the surf board,the paint brush to her father who is painting the wall.,singing a song.,a valentine to his crush.,hiding in the curtain behind the chair.,a present to his daughter.,wagging it's tail while playing outside in the grass.,the banana to the monkey in the enclosure.,washing his hair in the shower.,the hammer to the carpenter who is building a chair.,fanning the air around his face.,the student with a certificate.,pulling up her pants before she sits on the chair.,a pencil to his mother in their living room.,sweating because of the hot sun.,a shirt to the man in a suit.,whisteling a song.,an email to his girlfriend.,winking at someone.,a story about being a rock star.,writing out a document on a typewriter.,the taxi driver for the ride.,29.651596069336,-82.324798583984,-1,
R_1reLSLtUxgciDBQ,Default Response Set,Anonymous,,,24.250.155.136,0,2014-11-06 17:56:16,2014-11-06 18:00:27,1,2014,1,,,,,,,,,,,,,,,,,,,,,,,,,,sick,his hat to the clown,1,laying out in the sun,the letter K to the boy on the ladder,drilling,drinks to the men ,asking for food or money,medicine to the man in bed,fencing,the bone to the dog,fishing,the drink to his wife,hatching,a prize to the girl,hitchhiking,pizza to the man at the table,jumping with the frog,hot dogs to the girl,sailing,a note to her grandma,skating,a letter about her daughter,kneeling,"the employee $5,000",,,,,,,,,,,,,,,,,,,,,,,,,,29.651596069336,-82.324798583984,-1,
R_1eJADoQIaJGRgKr,Default Response Set,Anonymous,,,174.56.168.30,0,2014-11-06 18:52:10,2014-11-06 19:04:07,1,65718,1,starting to crawl on the floor,the evidence to the judge,1,tending a campfire by his tent,a guitar to Elvis,crying,posies to her teacher in the classroom,falling from the ladder,flowers to her teacher in the classrom,loitering on a park bench,a ball to his friend on the beach,amused by the cake,a pitcher to his mother,skiing downhill,the Gold medall to the contestant,phoney,a menu to the man at the table,coughing into a kleenex,a wreck to the poor man,barking inside her fence,a penpal letter to her friend in the mail,getting ready to box,a text message to his mom,clapping forcefuly,the attendant for the fill-up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.997100830078,-80.964500427246,-1,
R_XpQIfdCLHk0gDux,Default Response Set,Anonymous,,,73.186.186.157,0,2014-11-06 19:21:51,2014-11-06 19:33:25,1,7988,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,slipping on a banana peel. ,the dress to her friend. ,1,surfing. ,the paintbrush to her dad. ,singing. ,a valentine to the girl. ,hiding in the curtains. ,a present to the girl. ,Wagging his tail,A banana to the monkey ,showering ,the hammer to the man. ,waving. ,the student. ,going to sit. ,a toy to his mother. ,sweating in the sun. ,the shirt. ,whistling a tune. ,a love letter email to his girlfriend. ,winking.  ,a letter to her favorite rock star. ,Typing. ,the taxi driver. ,43.013900756836,-71.435203552246,-1,
R_1DHEE1aHC6v4UoA,Default Response Set,Anonymous,,,98.180.41.133,0,2014-11-06 19:25:43,2014-11-06 19:35:36,1,22383,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,slipping on a banana peel.,her brother her new dress that was on the table.,1,surfing in the ocean,her older brother the paint brush because he was on top of a ladder.,singing a song in her new dress.,his Valentine a valentine. ,hiding behind the trunk in the curtains for a fun game of hide and seek.,his daughter a present.,wagging its tail in the grass,the monkey a banana as he was hungry,taking a hot shower.,the hammer to the carpenter to nail the chair together.,waving in his new sweater.,the student an exemplary grade on his homework she was returning.,pulling up her pants to sit on the chair.,a carrot to his mother in the living room . ,sweating in the hot afternoon sun.,a shirt from the store table to a classy man in a suit.,whistling a tune.,a love letter via email to his girlfriend.,winking,an ode to her crush,typing on an old typewriter,the taxi cab driver for the ride,29.685104370117,-82.432403564453,-1,
R_RFap1BOH8Epmmzf,Default Response Set,Anonymous,,,68.226.1.124,0,2014-11-06 20:36:52,2014-11-06 20:44:51,1,91347,1,,,,,,,,,,,,,,,,,,,,,,,,,,,the cowboy a trick.,1,laying out on a sunny day. ,the boy the letter K to put on the wall.,using a power drill. ,the two rich men drinks. ,asking for food on a corner.,the patient his medicine.,fencing.,the dog a bone.,fishing alone.,a drink to his wife.,hatching from its egg.,the young girl with a trophy.,hitch-hiking on the side of a road.,the man a pepperoni pizza. ,playing leap frog with a frog.,a hot dog to the women. ,on a large sailboat. ,a post card to her mother.,having fun while roller skating. ,a letter to her daughter the princess. ,kneeling with no shoes on. ,the man with the hat $5000. ,,,,,,,,,,,,,,,,,,,,,,,,,,29.638107299805,-82.414100646973,-1,
R_2ysBrcGmLGXbPuk,Default Response Set,Anonymous,,,68.226.7.180,0,2014-11-07 00:02:48,2014-11-07 00:07:10,1,73585,1,crawling,the gun to the judge,1,camping,the man the guitar,cying,flowers to the teacher,falling off a ladder,a bouquet to the teacher,sitting on a bench,the baseball to the other boy,thinking,the jug to the girl,skiing down a mountain,the athlete a medal,happy,the man the menu,sneezing,the car to the man.,barking,a letter to her mother,a boxer,an email to the woman,clapping,five dollars for parking to the man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.676605224609,-82.385498046875,-1,
R_25vIaQhXriWF0Fq,Default Response Set,Anonymous,,,128.227.7.203,0,2014-11-07 08:58:34,2014-11-07 09:04:03,1,21884,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,falling after slipping on a banana peel,the man a dress,1,surfing on rough waves,a paintbrush to the man on the stepladder,singing a song,the girl in the stripped skirt a valentine,hiding behind a curtain,the child a present,wagging his tail,a banana to the swinging monkey,taking a hot shower,a hammer to the smith,smiling and waving,the student with the stripped shirt,standing up after sitting,a toy to his mother,sweating because it's hot,the man in the suit a shirt,whistling a happy tune,a love letter to his crush,winking and smiling,fanmail to her favorite singer,going to start typing,the cab driver 20 dollars,29.651596069336,-82.324798583984,-1,
R_3DeekCDQxW8XUyU,Default Response Set,Anonymous,,,128.227.134.17,0,2014-11-07 21:16:06,2014-11-07 21:27:16,1,51239,1,wearing overalls and crawling on the floor,the judge a gun from the case his is a lawyer for,1,warming up next to his campfire,a guitar to the lead performer,crying and in pain,her teacher some flowers picked outside during recess,falling off a ladder,a bouquet of flowers to the teacher,sitting on the park bench to relax,a baseball underhanded to his sister,excited to eat the cake in front of her,the water pitcher across the dining table to his sister sitting across from him,skiing down the mountain,the boy a first place metal,fantasizing about the guy walking by,the man his menu,sick with a cold and blowing her nose into the tissue,a used car for a good price,barking,a letter to her grandma,a boxer and about to fight,a thank you to his grandma,clapping his hands,the parking attendant five dollars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.651596069336,-82.324798583984,-1,
R_3I5k7E6M4l2DdeZ,Default Response Set,Anonymous,,,174.64.96.50,0,2014-11-08 17:40:32,2014-11-08 17:54:12,1,52462,1,,,,,,,,,,,,,,,,,,,,,,,,,,home sick and hasn't had a chance to take the medicine yet.,the clown his hat while they stood in front of the tent.,1,wearing sunglasses and a swimsuit while laying on a towel next to a bottle under the sun at the beach.,"the letter ""k"" to the boy who was standing on a ladder to complete the alphabet posting on the board.",about to fix something using the drill.,the two men a drink before offering any to the people behind them.,holding out his bowl for whoever comes around the corner.,"the patient the medicine, which apparently doesn't need to be delivered through the IV drip.",preparing to attack his opponent with his sword.,her dog a treat to catch.,fishing on the beach with her gear box beside her while wearing a hat and dress.,his wife her glass of water during their dinner at the dining room table.,hatching from its egg.,the girl a trophy.,hitchiking on a road filled with sharpish turns and lots of hills.,the man his pizza before checking on the other customers in her section.,jumping with the frog next to her.,a fresh hotdog to the girl.,sailing on a boat for their honeymoon.,a Christmas card to her aunt.,rollerskating.,"a letter to her good friend, the queen of another nation.",kneeling sadly on the ground.,the man his annual bonus.,,,,,,,,,,,,,,,,,,,,,,,,,,29.676605224609,-82.385498046875,-1,
R_xtnBZSgbEaH7MUV,Default Response Set,Anonymous,,,70.171.47.78,0,2014-11-08 23:48:30,2014-11-09 00:02:32,1,66865,1,crawling,a gun to a judge,1,poking a campfire with a stick,a guitar to a musician.,crying,flowers to her teacher,falling off of a ladder,flowers to her math teacher,sitting on a bench,a ball to a girl,touching her mouth with her hand,a pitcher to a girl,skiing,a medal to an athlete,smiling.,a menu,coughing into a tissue,a car to a man with a hat for $2990,barking while next to a fence.,a letter to her mother,boxing,a text message to a girl,clapping,five dollars to a person in a car,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.638107299805,-82.414100646973,-1,
