V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,SawSurvey,State,Gender,i01p1_1_TEXT,dt01p1_1_TEXT,i02p2_1_TEXT,dt02p1_1_TEXT,i03p3_1_TEXT,dt03p1_1_TEXT,i04p4_1_TEXT,dp01p1_1_TEXT,i05p5_1_TEXT,dp02p1_1_TEXT,i06p6_1_TEXT,dp03p1_1_TEXT,i07p7_1_TEXT,dp04p1_1_TEXT,i08p8_1_TEXT,dp05p1_1_TEXT,i09p9_1_TEXT,dp06p1_1_TEXT,i10p10_1_TEXT,dp07p1_1_TEXT,i11p11_1_TEXT,dp08p1_1_TEXT,i12p12_1_TEXT,dp09p1_1_TEXT,i13p13_1_TEXT,dt01p2_1_TEXT,i14p14_1_TEXT,dt02p2_1_TEXT,i15p15_1_TEXT,dt03p2_1_TEXT,i16p16_1_TEXT,dp01p2_1_TEXT,i17p17_1_TEXT,dp02p2_1_TEXT,i18p18_1_TEXT,dp03p2_1_TEXT,i19p19_1_TEXT,dp04p2_1_TEXT,i20p20_1_TEXT,dp05p2_1_TEXT,i21p21_1_TEXT,dp06p2_1_TEXT,i22p22_1_TEXT,dp07p2_1_TEXT,i23p23_1_TEXT,dp08p2_1_TEXT,i24p24_1_TEXT,dp09p2_1_TEXT,i25p25_1_TEXT,dt01p3_1_TEXT,i26p26_1_TEXT,dt02p3_1_TEXT,i27p27_1_TEXT,dt03p3_1_TEXT,i28p28_1_TEXT,dp01p3_1_TEXT,i29p29_1_TEXT,dp02p3_1_TEXT,i30p30_1_TEXT,dp03p3_1_TEXT,i31p31_1_TEXT,dp04p3_1_TEXT,i32p32_1_TEXT,dp05p3_1_TEXT,i33p33_1_TEXT,dp06p3_1_TEXT,i34p34_1_TEXT,dp07p3_1_TEXT,i35p35_1_TEXT,dp08p3_1_TEXT,i36p36_1_TEXT,dp09p3_1_TEXT,LocationLatitude,LocationLongitude,LocationAccuracy,
R_e9hhIFfwCPIF6Dz,Default Response Set,Anonymous,,,,1,2014-10-22 23:26:47,2014-10-22 23:35:36,1,1,,,crowling,evidence to judge,making fire,his guitar to singer,crying,flower to lady,falling down from ladder,flower to her teacher ,sitting on the bench looking at somebody,a ball to girl,eating something,water bottle to a girl,skiing,medal to a player,ugly,menu to a guest,caughing,a car,is barking,a letter to friend,boxing,message to a girl,clapping with other people,his bill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.598495483398,126.97830200195,-1,
R_9LwiAjLhxru15ch,Default Response Set,Anonymous,,,,1,2014-10-23 01:56:00,2014-10-23 02:17:22,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sliding by banana,a one-piece dress,surfing on the sea.,a brush to him,singing,love to her,hiding behind a curten,a present his daughter,wagging its tail,the banana to the monkey.,cleaning his body,a hammer to him,waving his right hand,a prize to a child.,standing up on the chair,the pencel to his mom.,sweating on the face.,a shirt to customer,whistling his mouth,a love leatter to his girl friend.,winking his eye,a letter thinking his fan.,typping on the paper,a fare to taxi driver,37.570007324219,126.98001098633,-1,
R_dguTfzno2okM7kh,Default Response Set,Anonymous,,,,1,2014-10-23 02:16:27,2014-10-23 02:25:51,1,1,,,?,gun as evidence,make fire,guitar to singer,crying now,?,going to fall,some flower to boy,sit on the banch,tennis ball to his friend,thinking,a bottle,enjoying ski,gold madal to player,smiling,a manu to customer,?,old car at 2990 dallars,barking,mail to her friend,boxer,a e-mail to girl,sick,five dollars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.570007324219,126.98001098633,-1,
R_3Qyfso9sO2fidLf,Default Response Set,Anonymous,,,,1,2014-10-23 02:21:06,2014-10-23 02:39:17,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,slide down by banana,a dress,surfing on the sea.,a brush to him,singing up,love to her,hiding behind a curten,a present his daughter,shaking a tail,the banana to the monkey.,cleaning his body,a hammer to him,waving his hand,to a child.,stand up on the chair,the pencel to he's mom.,sweating on the face.,a shirt,huming his mouth,a love leatter to his girl friend.,wrinkle his eyes.,a letter thinking fan.,outputing the paper,a fare to taxi driver,37.570007324219,126.98001098633,-1,
R_3ND57fjsw1ffgm8,Default Response Set,Anonymous,,,165.194.45.5,0,2014-10-29 23:55:00,2014-10-30 00:14:06,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,getting a cold,up his hat to crown,tanning on the beach,emblem 'k' for puzzle,not working,beverage to people,begging someone,the medicine with water,fencing,dog chewing gum for playing with her dog,fishing,the beer his wife,hatching out,who win the prize,wating the car for hitchhiking,pizza for him ,jumping like frog ,hot dog approaching someone,floating,the letter her teacher,roller-skating,the card for her doughter,go down on hers knee,the salary about month,,,,,,,,,,,,,,,,,,,,,,,,,37.570007324219,126.98001098633,-1,
R_cCkWe5qpi9wcxSJ,Default Response Set,Anonymous,,,165.194.45.5,0,2014-10-30 00:12:17,2014-10-30 00:32:27,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,coughing,a hat to a crown.,tanning on a beach in a sunny day.,letter 'K' to a boy on the ladder to put on the balckboard. ,I don't know.,desserts to two guys who are having conversation in the party.,sitting on the corner and aking for money.,medicine for a patient.,pencing.,a born to the dog.,fishing.,a cup to his wife.,hatched out.,a prize to a girl.,hitch hiking.,a pizza to a man who is sitting on the table alone.,jumping besides a jumping frog,a hot dog to a girl.,ridign on a boat at ocean.,a drawing to her grandmother.,skaking happily.,a letter to a princess.,spaced away in kneel down position.,payment to his employee.,,,,,,,,,,,,,,,,,,,,,,,,,37.570007324219,126.98001098633,-1,
R_3aVNzTdmS5gemuV,Default Response Set,Anonymous,,,118.220.8.3,0,2014-10-30 02:12:44,2014-10-30 02:28:44,1,1,,,crawling,evidence the jugde,,guitar to friend,crying,flower for a teacher,falling down ,flower a teacher,,,smiling,bottle to girl,enjoying the ski,medal for player,smiling,menu a customer,coughing,a car customer ,barking,letter to friend,standing ,message girl,clapped his hands,for gasolin to staff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.598495483398,126.97830200195,-1,
R_6RnBa40padqZuMl,Default Response Set,Anonymous,,,165.194.45.5,0,2014-10-30 05:15:25,2014-10-30 05:28:46,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,catching a cold.,his hat to a crown.,laying on the seashore.,something to a boy.,held by a hand.,some drinks to two men.,begging.,some medicine to a patient.,holding a sword.,a born to her dog.,fishing.,a glass to his wife.,going out of the egg.,to a student.,hitchhiking.,a whole of pizza to the customer.,jumping up.,a hotdog to a woman.,riding a yacht.,a letter to her mother.,skating.,a letter to the princess.,sitting with her knees.,to his employee.,,,,,,,,,,,,,,,,,,,,,,,,,37.570007324219,126.98001098633,-1,
R_27KlD6OOnUYrKKK,Default Response Set,Anonymous,,,165.194.38.216,0,2014-10-31 00:05:34,2014-10-31 01:37:57,1,1,,,crawling.,"an evidence, a gun, to a judge.",making a fire next to a camp.,a guitar to a singer who seated a chair. ,crying. ,a bunch of flowers to a woman. ,falling off a ladder.,a bouquet from her teacher.,looking something as sitting on a bench.,a baseball to a girl.,laughing.,a water bottle to an woman.,skiing. ,a medal to an athlete who won the first prize.,smiling.,a menu for a man.,coughing.,a car of which the price was 2990 dollars to a man.,barking.,a mail to her friend.,boxing.,a text message to a girl friend.,clapping.,five dollars to a clerk.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.570007324219,126.98001098633,-1,
R_PB7g9KrqTJtHolP,Default Response Set,Anonymous,,,223.62.203.22,0,2014-10-31 01:25:49,2014-10-31 01:43:59,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sliding because of banai,a dress.,surfing a boat.,a brush.,singing a song., a valentain chocolate to a girl.,hiding behind curtain.,a gift to girl.,shaking his tale.,a banana to a monkey.,taking a shower.,a hammer to another painter.,shaking hand.,a prize to student.,pulling her shirts.,a pencil to his mother.,dripping with sweat.,a t shirt .,whistling.,a email to his girl friend.,winking.,a letter to her favorite singer.,typing.,his fare to taxi driver,37.598495483398,126.97830200195,-1,
R_2uDOgXqyZje8xg0,Default Response Set,Anonymous,,,175.253.134.80,0,2014-10-31 01:27:41,2014-10-31 02:00:07,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,suffering from strong cold.,his hat to the clown and they are both smiling.,wearing sunglasses and bikini while tanning her skin with a oil on the shore under the sun.,the choke the boy who is on the ladder and trying to write letters on the blackboard.,ready for using by human.,some beverages to men who were talking each other at the gathering place.,trying to gain some changes for him with his old clothes.,the water with some medicine to the man who is on the bed with sickness.,fencing with equipments that need for fencing.,the bone to her dog that is trying to follow the bone.,fishing at the sea without shoes.,a cup to the wife who was having a meal at the table.,hatching herself with her peak.,the student who happily receive the trophy.,trying to hitchhiking with his thumbs,the pizza to the man who was waiting the meal alone at the cateteria.,jumping at the grass following the frog that is jumping.,a hot dog with sausage to the girl who is buying a hot dog.,on the yacht that is sailing the sea.,the christmas letter to her mom who is thought by her daughter.,riding roller skates fast.,the letter to her daughter who is a princess and have a pretty face.,bending her knees with sad face .,the wages to his employee who looks happy.,,,,,,,,,,,,,,,,,,,,,,,,,37.453598022461,126.73168945312,-1,
R_2UYjc4S8PXo49Cm,Default Response Set,Anonymous,,,175.124.33.47,0,2014-10-31 01:58:56,2014-10-31 02:24:52,1,1,,,crawling,scripts to a man who is in front of the man,making a campfire,his guitar to the singer,crying,some flowers to her teacher,"trying to climb the ladder, but failing to grip the ladder",some flowers to her teacher,sitting a bench and looking around,a ball to his partner,chuckling,the cup to the girl above the table,skiing,a medal to the winner,smiling,a menu to the customer,sneezing,a car at 2990 dollars,barking,a letter to someone who the girl is thinking,preparing a match,texts to his girlfriend,applauding,5 dollars to the clerk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.598495483398,126.97830200195,-1,
R_3q9ypTTgJSKCE9E,Default Response Set,Anonymous,,,114.199.151.61,0,2014-11-02 01:09:30,2014-11-02 01:25:39,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,falling down because of barnana,dress to a men,surffing,brush to the boy that is trying to paint the wall,singing,something to her,hiding behind couch,his douther present,playing on the ground,barnana to monkey,taking shower,hammer to carpenter,shaking his hand,the boy,standing forhead chair,pencil to his mother,feeling hot,T short ,whisling,mail to sameone,wink,pan letter ,typing something,for taxi,37.570007324219,126.98001098633,-1,
R_2SDNs4iqbhGBLOS,Default Response Set,Anonymous,,,14.36.174.174,0,2014-11-03 03:46:41,2014-11-03 04:18:14,1,1,,,crawling with his hands and knees.,the judge a gun(which might be found at the crime scene).,making a fire in front of the tent.,a guitar to the man holding the microphone.,crying.,her teacher small flowers in front of the classroom.,falling down from the ladder.,flowers the teacher in front of the blackboard.,looking at something sitting on the bench with grasping the back of the bench.,the girl a ball.,tasting something with her finger.,the girl a kettle.,skiing.,the athletic the 1st medal.,smiling.,the man with suit a menu list.,trying to cover her mouth with napkin.,"an old car for 2,990 dollars to the man.",barking at the wall.,a mail to her mother by handwriting.,(shadow)boxing.,a text message thinking about his girlfriend(or someone he liked).,clapping.,5 dollars for parking(or something else) to the manager.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.598495483398,126.97830200195,-1,
R_eh9xDXvbYWi9Dzn,Default Response Set,Anonymous,,,119.70.104.13,0,2014-11-04 04:51:30,2014-11-04 05:09:42,1,1,,,looking for his mother,his non-guilty to the judge,making a fire beside his tent,the guitar to the singer,cring loudly,the flowers to her teacher,falling from the ladder,flowers to math teacher,seating on the bench and looking around,a baseball to the girl who stands infront of him,watching something seriously,the cattle of water to his sister,skiing on the mountain,first prize to the winner,looking happy because she is smiling,the menu to the man who visit alone,coughing because she had a cold,the car at 2990 dollars to the man,looking left side and barking,a post mail to her best friend,preparing his boxing game,a text message to his girlfriend,clapping his hands,5 dollars to clerk who stands beside car,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.598495483398,126.97830200195,-1,
R_9F7piICLEgwhqN7,Default Response Set,Anonymous,,,121.65.175.3,0,2014-11-04 08:17:20,2014-11-04 08:47:52,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sliding because of banna peel.,dress to him,suffing,brush to him,singing,his love to her,in hiding behind curtain,a present to her.,wagging tail,banana to monkey,taking a shower,hammer to co worker,waving his hand,a prize to him,standing,pencil to mom,sweating,t-shirt  to him,whistling,e-mail to her,winking his eye.,letter to star.,typing,taxi fare to taxi driver,37.570007324219,126.98001098633,-1,
R_2YaXZoYencHGyY2,Default Response Set,Anonymous,,,175.198.52.9,0,2014-11-04 21:35:34,2014-11-04 22:11:21,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Slipping on banana,Her dress to guy,Surfing,Out a brush to guy,Singing a song.,Valentine chocolate to girl,Smiling behind of curtain,A gift to girl,Waging tail,Banana to monkey,Doing shower.,A hammer to other person.,Shaking his arm for greeting or goodbye,,Standing nearby chair,Something to mom,Wiping his sweat,Shirt to guy,Whistling ,Love letter by email,Winking his right eye.,Fan letter.,Typing ,Money to text driver,37.598495483398,126.97830200195,-1,
R_3qBE4rhIVk4oquF,Default Response Set,Anonymous,,,211.36.159.198,0,2014-11-04 22:21:22,2014-11-04 22:35:11,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,cough violently,hats,,something,keen,cups,bagging,a medicine,pokes me,a bone to a dog,fishing,a cup,breaked,a trophy,good,the pizza,jumping,sausages,floating,a letter,skating,invitaion,keeling,the money,,,,,,,,,,,,,,,,,,,,,,,,,37.570007324219,126.98001098633,-1,
R_ANCAuccJNeHD6zT,Default Response Set,Anonymous,,,223.62.163.22,0,2014-11-04 22:18:31,2014-11-04 22:37:13,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,eat dinner,his hat,tanning ,the tool to the engineer,working,some beverage ,begging other people,some medicine to the patient ,aiming the sword ,the bone for playing her doggy,fishing now,bottle to his wife,born now,giving trophy to the winner,hitching ,pizza! ko wa boong ga!!,jumping,his hotdog,sailing on the ocean,letter to her friend,skating,letter to her daughter ,bended het knee,salary,,,,,,,,,,,,,,,,,,,,,,,,,37.598495483398,126.97830200195,-1,
R_a99oFAhzwKqzJ9r,Default Response Set,Anonymous,,,165.194.36.245,0,2014-11-04 22:26:11,2014-11-04 22:41:57,1,1,,,clowing,gun as evidence to judge. ,ready for camping and set on fire,a mac and the other boy playing guitar,crying to  looking for mother,flower to math teacher,foll dawn from stare,flowers to teacher,sitting on the banch and staring something,ball and the girl ready to catch,smailing ,a cup to his sister,skiing,medal to a player,smailing for me,a menu for a man,sneezing,a car for men who wearing a hat,alarm to danger,latter for her friend,ready to fight,some latter for his mother,clapping,5$ ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.570007324219,126.98001098633,-1,
R_3MsQp9EgPweZuim,Default Response Set,Anonymous,,,110.70.44.82,0,2014-11-05 01:56:18,2014-11-05 04:31:08,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Slipping ,A dress that man looked,Surfing,A brush to man,Singing ,Simbol of love,Hiding,A present to girl,Wagging its tail,A banana to monkey,Taking a shower,Her test,Greeting ,A certificate to student,Standing in front of a chair,Something that his mother asked,Sweating,A half sleeves shirts to customer,Whistling ,Email to the girl he loves,Winking ,A fan letter ,Typing,Taxi fare,37.598495483398,126.97830200195,-1,
R_1FbwEkAljtffwsx,Default Response Set,Anonymous,,,165.194.45.235,0,2014-10-30 03:04:05,2014-10-30 03:10:38,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_W9CP8UfRdlCMMqR,Default Response Set,Anonymous,,,118.36.172.43,0,2014-10-30 09:05:44,2014-10-30 09:08:33,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_8tOcJQdFeVtZ069,Default Response Set,Anonymous,,,98.180.47.186,0,2014-11-04 20:31:23,2014-11-04 20:35:02,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_3eggP758bqTiiey,Default Response Set,Anonymous,,,175.196.69.216,0,2014-11-15 23:25:47,2014-11-15 23:48:33,1,1,,,crawling on the floor,an evidence to the judge at the court,lighting the fire where he had camped,a guitar to a woman standing on a chair with a mike,crying ,some flower to a woman,falling down while going up the ladder,a bouquet to her math teacher,standing on a wooden chair wearing a pair of sunglasses,a baseball to his friend,staring at an object which can't tell exactly what it is,a plastick cup to a girl over the table,sking and sliding down the slope,a medal to an athlete on a podium,smiling quietly,the menu to a male visitor,coughing,a car to a man wearing hat at a price of $2990,barking,a letter to her female friend,weaing a pair of boxing gloves,a messege to the girl whom he had fallen in love with,clapping his hands very hard,$5 toll to a guy ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.598495483398,126.97830200195,-1,
R_3nc2z2HA7d8YEGK,Default Response Set,Anonymous,,,211.36.143.65,0,2014-11-16 03:28:25,2014-11-16 03:56:52,1,1,,,crawling,a evidence of crime to judge,camping in forest,a guitar,crying,flower,falling down a ladder,flower to her teacher,sitting on a bench,a ball to girl,watcing a weird stuff which I don't konw.,a glass bottle,skiing,a golden medal to winner,a middle aged woman,a menu,sneezing,a old car,barking ,a letter to her friend,a boxer,a message to his girl friend,clapping his hands,money to get a cup of coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.598495483398,126.97830200195,-1,
R_31ZOiKEuUHyjRMD,Default Response Set,Anonymous,,,106.246.122.7,0,2014-11-16 04:12:40,2014-11-16 04:30:39,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,slipping over the banana.,the dress.,surfing on the wave.,the brush to the boy.,singing the song.,his favour.,hiding behind the curtain.,the gift to the girl.,wagging the tail.,the banana to the monkey.,having a shower.,a hammer.,waving his hand.,the certificate to the student., stading.,a pencil to his mom.,sweating., shirts.,whistling.,a mail to his girlfriend.,winking.,a song.,typing the keyboard.,the fare to the taxi driver.,37.598495483398,126.97830200195,-1,
